"path","rel_path","experiment_id","source","representation","dim_reduction","clustering","accuracy","ari","nmi","silhouette","n_beads","n_extensions","n_clusters","cluster_counts","n_outliers","n_good_in_clustering","n_bad_in_clustering","tp","tn","fp","fn","chosen_cluster_size","n_good_real","n_bad_real","n_coilable_real","n_uncoilable_real","n_bad_class_real","error"
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested","common_grid_intersection","laplacian","optics",0.46882494004796166,-0.005552490238984425,0.021836959617079196,0.015543374517906786,834,2,37,"19,9,14,16,5,8,6,5,7,7,11,5,18,12,6,10,7,5,5,5,5,6,7,14,10,6,8,21,6,9,7,7,5,5,8,6,7",255,459,375,17,374,1,442,18,459,375,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested","common_grid_intersection","laplacian","optics",0.68717277486911,0.033423310323674245,0.049697713756801744,0.048983374098323686,764,2,27,"12,15,10,8,8,9,6,6,11,8,12,7,10,7,17,9,5,13,6,7,7,6,8,5,12,6,5",176,251,513,12,513,0,239,12,251,513,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested","common_grid_intersection","laplacian","optics",0.7524861878453039,0.037374931418501546,0.043565990173754274,-0.007070914500664224,905,2,44,"9,5,6,9,6,6,10,13,9,9,5,8,5,6,6,7,7,5,10,7,7,13,8,13,7,8,6,7,9,11,14,5,5,5,9,7,22,9,10,6,13,12,5,8",294,233,672,9,672,0,224,9,233,672,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested","common_grid_intersection","laplacian","optics",0.7175697865353038,-0.004728136517033237,0.0010200700432401412,0.20922153474742466,609,2,18,"6,17,8,7,7,11,8,10,9,9,6,8,5,8,15,13,21,17",110,168,441,1,436,5,167,6,168,441,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested","common_grid_intersection","laplacian","optics",0.37267080745341613,-0.07114449845338047,0.06911654308651187,0.26822515986052614,161,2,8,"14,8,8,13,8,5,8,6",30,115,46,14,46,0,101,14,115,46,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested","common_grid_intersection","laplacian","optics",0.7170868347338936,0.09953819060959512,0.127996312519402,0.3242113639088279,357,2,18,"12,7,5,13,6,16,13,7,8,6,17,8,11,7,6,13,5,8",57,117,240,16,240,0,101,16,117,240,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested","common_grid_intersection","laplacian","optics",0.6821515892420538,0.06884155561641546,0.06882903055843934,0.4083007764484466,409,2,20,"15,6,9,8,15,5,8,15,14,21,11,5,17,18,15,10,16,5,7,7",46,145,264,18,261,3,127,21,145,264,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested","common_grid_intersection","laplacian","optics",0.6662387676508345,0.03129379533183892,0.051677150083760476,0.12304449788332276,779,2,44,"6,12,8,9,6,8,24,7,10,7,13,5,7,6,14,14,13,14,15,12,11,8,7,5,13,6,6,5,7,7,7,12,6,6,14,13,9,5,13,11,12,6,8,5",249,274,505,14,505,0,260,14,274,505,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested","common_grid_intersection","laplacian","optics",0.7952468007312614,0.07363822691586187,0.07495344767922528,0.15826259945810398,547,2,34,"7,7,8,6,7,12,9,9,9,5,7,7,6,6,6,13,5,11,8,6,7,6,5,11,10,10,11,5,9,8,7,15,10,8",149,120,427,8,427,0,112,8,120,427,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate","common_grid_intersection","laplacian","optics",0.7810457516339869,0.06185915490224962,0.030149874859733385,0.19509916990500356,612,2,38,"7,8,13,8,5,6,5,8,5,5,9,5,5,9,6,9,7,5,13,17,6,7,5,7,16,18,11,13,7,9,8,7,11,10,6,6,7,7",133,138,474,10,468,6,128,16,138,474,"","","",""
