"path","rel_path","experiment_id","source","representation","dim_reduction","clustering","accuracy","ari","nmi","silhouette","n_beads","n_extensions","n_clusters","cluster_counts","n_outliers","n_good_in_clustering","n_bad_in_clustering","tp","tn","fp","fn","chosen_cluster_size","n_good_real","n_bad_real","n_coilable_real","n_uncoilable_real","n_bad_class_real","error"
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested","raw_extension_sorted_by_force","fpca","kmeans",0.7446043165467626,0.2360555023845854,0.2788539326788606,0.6281316771670945,834,2,1,"662",155,459,375,454,167,208,5,662,459,375,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested","raw_extension_sorted_by_force","fpca","kmeans",0.4698952879581152,-0.06019308926944006,0.10770242955083136,0.6948492332200631,764,2,1,"654",92,251,513,250,109,404,1,654,251,513,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested","raw_extension_sorted_by_force","fpca","kmeans",0.41104972375690607,-0.07373263073068141,0.04808945390489267,0.6576370512401594,905,2,1,"744",154,233,672,222,150,522,11,744,233,672,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested","raw_extension_sorted_by_force","fpca","kmeans",0.31527093596059114,0.06363197652087417,0.015105495756473948,0.6267711453960307,609,2,1,"493",115,168,441,122,70,371,46,493,168,441,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested","raw_extension_sorted_by_force","fpca","kmeans",0.8571428571428571,0.4898863505912065,0.341281711090024,0.5208450493602429,161,2,1,"116",45,115,46,104,34,12,11,116,115,46,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested","raw_extension_sorted_by_force","fpca","kmeans",0.453781512605042,-0.06321108285370097,0.10755172924943457,0.6996688504356121,357,2,1,"312",45,117,240,117,45,195,0,312,117,240,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested","raw_extension_sorted_by_force","fpca","kmeans",0.46454767726161367,-0.038267339442062266,0.037318776881062124,0.7074323161102686,409,2,1,"346",62,145,264,136,54,210,9,346,145,264,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested","raw_extension_sorted_by_force","fpca","kmeans",0.4839537869062901,-0.04874394222573182,0.10966452713676257,0.7424697661436716,779,2,1,"674",100,274,505,273,104,401,1,674,274,505,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested","raw_extension_sorted_by_force","fpca","kmeans",0.40036563071297987,-0.06862056595794218,0.033206427984265194,0.6169496729205924,547,2,1,"428",118,120,427,110,109,318,10,428,120,427,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate","raw_extension_sorted_by_force","fpca","kmeans",0.43790849673202614,-0.09183470335799648,0.1045263922989077,0.6017908843883726,612,2,1,"480",132,138,474,137,131,343,1,480,138,474,"","","",""
