"path","rel_path","experiment_id","source","representation","dim_reduction","clustering","accuracy","ari","nmi","silhouette","n_beads","n_extensions","n_clusters","cluster_counts","n_outliers","n_good_in_clustering","n_bad_in_clustering","tp","tn","fp","fn","chosen_cluster_size","n_good_real","n_bad_real","n_coilable_real","n_uncoilable_real","n_bad_class_real","error"
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested","raw_extension_sorted_by_force","umap","dbscan",0.8369304556354916,0.4528540003295022,0.4001080369356406,0.16754858195781708,834,2,8,"561,12,36,80,31,19,61,9",8,459,375,442,256,119,17,561,459,375,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested","raw_extension_sorted_by_force","umap","dbscan",0.8429319371727748,0.46372902596850024,0.3367755112688029,0.22547918558120728,764,2,12,"263,20,39,35,8,19,24,67,142,88,15,22",4,251,513,197,447,66,54,263,251,513,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested","raw_extension_sorted_by_force","umap","dbscan",0.8729281767955801,0.5255111514959594,0.36110837200707313,0.29591846466064453,905,2,14,"216,7,84,17,15,313,30,51,75,30,19,9,16,5",11,233,672,167,623,49,66,216,233,672,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested","raw_extension_sorted_by_force","umap","dbscan",0.9638752052545156,0.8552218233485094,0.747137323566197,0.25156617164611816,609,2,7,"174,252,32,27,99,7,14",3,168,441,160,427,14,8,174,168,441,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested","raw_extension_sorted_by_force","umap","dbscan",0.6708074534161491,0.06769821418183933,0.020168327218879768,0.3400614559650421,161,2,3,"122,19,18",2,115,46,92,16,30,23,122,115,46,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested","raw_extension_sorted_by_force","umap","dbscan",0.8879551820728291,0.5994052194002187,0.512036388397237,0.483972430229187,357,2,7,"145,49,24,114,15,5,5",0,117,240,111,206,34,6,145,117,240,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested","raw_extension_sorted_by_force","umap","dbscan",0.8679706601466992,0.5404134910775318,0.4964788599947869,0.3029616177082062,409,2,5,"191,67,118,10,20",2,145,264,141,214,50,4,191,145,264,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested","raw_extension_sorted_by_force","umap","dbscan",0.889602053915276,0.6063463044087052,0.5544146971239645,0.1031780019402504,779,2,13,"350,5,70,46,20,106,22,51,37,23,27,5,5",7,274,505,269,424,81,5,350,274,505,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested","raw_extension_sorted_by_force","umap","dbscan",0.8482632541133455,0.4644165908418969,0.36201059973526833,0.3555371165275574,547,2,13,"179,28,44,31,51,30,21,24,32,37,16,18,29",6,120,427,108,356,71,12,179,120,427,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate","raw_extension_sorted_by_force","umap","dbscan",0.7598039215686274,-0.019590590175524367,0.01241627263929824,0.2459283173084259,612,2,5,"467,50,54,28,9",4,138,474,0,465,9,138,9,138,474,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_TEC0207_OF_7pN_RfaH50_PURESystem_1mgmlpuro","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_TEC0207_OF_7pN_RfaH50_PURESystem_1mgmlpuro","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_TEC0207_OF_7pN_RfaH50_PURESystem_1mgmlpuro","separate","raw_extension_sorted_by_force","umap","dbscan",0.8307692307692308,-0.06924169148194409,0.02558996651550192,0.004996831528842449,520,2,2,"455,55",10,33,487,0,432,55,33,55,33,487,"","","",""
"/Users/seb/Projects/dulinlab/thesis_code/extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240603_2_TEC0508_OF_7pN_50nMRfaH_I_II_only","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240603_2_TEC0508_OF_7pN_50nMRfaH_I_II_only","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240603_2_TEC0508_OF_7pN_50nMRfaH_I_II_only","separate","raw_extension_sorted_by_force","umap","dbscan",0.7382198952879581,0.2222000130749818,0.2517576513167203,0.2178693413734436,191,2,3,"123,12,55",1,83,108,78,63,45,5,123,83,108,"","","",""
