"path","rel_path","experiment_id","source","representation","dim_reduction","clustering","accuracy","ari","nmi","silhouette","n_beads","n_extensions","n_clusters","cluster_counts","n_outliers","n_good_in_clustering","n_bad_in_clustering","tp","tn","fp","fn","chosen_cluster_size","n_good_real","n_bad_real","n_coilable_real","n_uncoilable_real","n_bad_class_real","error"
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested","common_grid_intersection","laplacian","optics",0.27538726333907054,-0.028966270678230502,0.02088474754629546,0.10525280279687857,581,1,41,"14,9,11,10,14,10,5,8,16,7,9,8,5,5,9,6,12,8,7,5,8,11,9,7,8,11,5,7,6,8,6,12,11,12,7,6,6,5,8,30,12",208,435,146,14,146,0,421,14,459,375,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested","common_grid_intersection","laplacian","optics",0.6268412438625205,0.029342690984281414,0.051165690151635045,-0.005703777983038247,611,1,43,"8,6,18,9,6,7,12,8,6,6,5,15,9,5,6,13,7,5,7,10,5,6,9,5,6,9,6,6,6,17,11,5,5,5,10,5,9,5,6,8,14,6,5",274,244,367,17,366,1,227,18,251,513,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested","common_grid_intersection","laplacian","optics",0.9848812095032398,0.6486316353636083,0.4676292095581256,0.10361619834736395,463,1,28,"12,9,7,6,9,7,5,9,10,8,26,18,11,8,11,7,5,11,6,12,7,7,5,20,5,14,6,6",196,9,454,7,449,5,2,12,233,672,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested","common_grid_intersection","laplacian","optics",0.9792284866468842,-0.008420638367169688,0.0015673091335283553,0.2235839974496579,337,1,17,"11,13,5,9,9,12,10,8,17,10,13,8,20,6,12,23,24",127,2,335,0,330,5,2,5,168,441,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested","common_grid_intersection","laplacian","optics",0.23157894736842105,-0.0922038336548151,0.041274888635844206,0.1738235780662918,95,1,7,"14,5,6,6,13,13,5",33,86,9,13,9,0,73,13,115,46,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested","common_grid_intersection","laplacian","optics",0.6452702702702703,0.039328650504125914,0.07419669334059512,0.16827017266137767,296,1,20,"11,5,9,10,11,9,12,9,8,9,17,11,5,8,7,7,10,7,9,6",116,114,182,9,182,0,105,9,117,240,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested","common_grid_intersection","laplacian","optics",0.66189111747851,0.044238649787759536,0.07488340683425182,0.13011385532160702,349,1,28,"5,10,5,9,5,7,5,5,8,7,7,5,6,7,5,8,11,5,7,8,5,5,7,16,15,10,12,10",134,128,221,10,221,0,118,10,145,264,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested","common_grid_intersection","laplacian","optics",0.6432835820895523,0.033556785629218426,0.06369730606538374,0.1571680935587652,670,1,54,"14,12,5,5,8,9,6,7,11,8,5,5,6,5,16,6,7,16,9,13,5,8,17,7,6,5,6,8,6,9,11,5,9,7,5,10,7,9,9,15,17,5,5,6,6,5,9,8,6,7,7,12,13,9",218,256,414,17,414,0,239,17,274,505,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested","common_grid_intersection","laplacian","optics",0.8631578947368421,0.15466377650471286,0.13476859858699075,0.09181605349388579,380,1,24,"7,7,8,7,14,11,6,5,6,13,7,5,6,11,9,5,13,9,12,10,17,5,7,17",163,59,321,7,321,0,52,7,120,427,"","","",""
"/scistor/guest/ssk256/force_extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate","common_grid_intersection","laplacian","optics",0.7331932773109243,0.03757964258874177,0.03299306389029252,0.22605099366292905,476,1,43,"13,11,7,9,5,14,6,6,8,6,5,6,14,7,9,6,7,11,5,7,6,7,7,8,5,12,6,5,5,6,5,22,8,6,8,9,6,5,7,6,5,6,8",146,132,344,6,343,1,126,7,138,474,"","","",""
