"path","rel_path","experiment_id","source","representation","dim_reduction","clustering","accuracy","ari","nmi","silhouette","n_beads","n_extensions","n_clusters","cluster_counts","n_outliers","n_good_in_clustering","n_bad_in_clustering","tp","tn","fp","fn","chosen_cluster_size","n_good_real","n_bad_real","n_coilable_real","n_uncoilable_real","n_bad_class_real","error"
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested","common_grid_intersection","lle","optics",0.27710843373493976,-0.026569520031594136,0.011172265926666567,-0.08974741087407047,581,1,33,"10,17,7,9,10,5,5,16,9,7,6,5,8,12,8,5,5,7,6,10,13,9,5,5,5,7,7,7,9,14,5,10,10",308,435,146,16,145,1,419,17,459,375,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested","common_grid_intersection","lle","optics",0.6202945990180033,0.02115143416926255,0.04763574101626465,-0.19662476122722206,611,1,31,"8,9,12,9,5,7,7,10,10,9,8,5,9,14,5,7,13,5,8,7,8,6,7,6,10,8,5,5,6,5,6",372,244,367,12,367,0,232,12,251,513,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested","common_grid_intersection","lle","optics",0.9740820734341252,0.12724135200774753,0.04348673668032598,-0.17047214478834838,463,1,21,"9,10,11,5,6,5,5,8,10,6,10,6,6,8,5,8,12,6,5,5,7",310,9,454,1,450,4,8,5,233,672,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested","common_grid_intersection","lle","optics",0.9792284866468842,-0.008420638367169688,0.0015673091335283553,0.005003486208692453,337,1,21,"6,10,10,5,7,15,21,7,7,11,5,6,9,5,7,7,6,6,5,8,6",168,2,335,0,330,5,2,5,168,441,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested","common_grid_intersection","lle","optics",0.24210526315789474,-0.09318033031194946,0.04357474670060595,0.31680818387482323,95,1,8,"9,7,8,5,6,14,10,13",23,86,9,14,9,0,72,14,115,46,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested","common_grid_intersection","lle","optics",0.668918918918919,0.07468033506329075,0.12334007671758564,-0.06315885934085806,296,1,15,"16,5,7,8,9,5,9,8,7,10,7,7,9,5,6",178,114,182,16,182,0,98,16,117,240,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested","common_grid_intersection","lle","optics",0.6762177650429799,0.06994942789289328,0.0896564258594039,-0.033082726995096075,349,1,21,"9,17,7,7,5,5,7,5,11,8,5,7,7,8,6,7,9,16,8,5,6",184,128,221,16,220,1,112,17,145,264,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested","common_grid_intersection","lle","optics",0.6462686567164179,0.03781745577450243,0.07041454948481411,-0.10056414184644229,670,1,37,"19,5,9,15,5,14,6,8,6,6,6,7,5,5,7,8,5,6,5,7,15,6,9,5,8,9,9,14,6,5,18,5,5,6,7,11,6",372,256,414,19,414,0,237,19,274,505,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested","common_grid_intersection","lle","optics",0.8578947368421053,0.11215255855131966,0.09962581986243854,-0.18621990580171108,380,1,15,"9,5,5,8,12,5,6,8,6,5,10,7,16,8,6",264,59,321,5,321,0,54,5,120,427,"","","",""
"/scistor/guest/ssk256/force_extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate","common_grid_intersection","lle","optics",0.7310924369747899,0.030864662696854287,0.026139605789330642,0.12657343195778267,476,1,34,"11,13,12,7,9,7,8,8,6,7,7,10,5,7,6,23,16,7,15,7,24,6,7,10,6,9,6,8,17,10,5,7,5,6",159,132,344,5,343,1,127,6,138,474,"","","",""
