"path","rel_path","experiment_id","source","representation","dim_reduction","clustering","accuracy","ari","nmi","silhouette","n_beads","n_extensions","n_clusters","cluster_counts","n_outliers","n_good_in_clustering","n_bad_in_clustering","tp","tn","fp","fn","chosen_cluster_size","n_good_real","n_bad_real","n_coilable_real","n_uncoilable_real","n_bad_class_real","error"
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1434_TX_ofp37_7pN_deomegaRNAP_r1000","nested","common_grid_intersection","tsne","optics",0.2822719449225473,-0.03193604158761597,0.014404447687808223,0.09734166413545609,581,1,44,"11,9,11,15,6,12,11,9,7,16,10,10,7,8,7,5,11,5,8,7,6,8,16,9,5,5,5,20,8,11,9,9,5,6,12,8,6,11,8,6,11,9,5,5",193,435,146,19,145,1,416,20,459,375,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","research-beta-pa-dulin-lab_Luca_dwRNAP_20250219_1803_TX_deomega_ofp37_7pN_ga2","nested","common_grid_intersection","tsne","optics",0.6252045826513911,0.027388324906516087,0.04785128143091747,0.06806857883930206,611,1,47,"17,12,7,7,10,16,6,11,5,11,7,7,13,5,5,7,9,6,14,12,8,10,8,7,8,5,11,5,7,14,8,8,8,12,17,5,6,6,6,5,6,10,5,5,6,8,7",213,244,367,16,366,1,228,17,251,513,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested/research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","research-beta-pa-dulin-lab_Luca_dwRNAP_20250224_1635_TX_ofp37_7pN_deomega_r10k","nested","common_grid_intersection","tsne","optics",0.9870410367170627,0.6511361340842623,0.46419476970937357,-0.015068977139890194,463,1,32,"9,5,7,10,6,9,7,13,8,5,6,7,5,8,7,14,7,6,10,7,6,7,11,14,6,6,6,13,11,17,6,5",199,9,454,6,451,3,3,9,233,672,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37","nested","common_grid_intersection","tsne","optics",0.9792284866468842,-0.008420638367169688,0.0015673091335283553,0.11324896663427353,337,1,25,"7,5,11,8,15,6,10,13,10,9,8,8,12,18,8,9,10,8,5,5,8,13,7,8,7",109,2,335,0,330,5,2,5,168,441,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250411_TX_OF_of1437_wtrnap_7pN_p37_r1000","nested","common_grid_intersection","tsne","optics",0.9052631578947369,0.0,0.0,"",95,1,1,"95",0,86,9,86,0,9,0,95,115,46,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r250","nested","common_grid_intersection","tsne","optics",0.6554054054054054,0.05397147718091953,0.09582116071797876,-0.09636488556861877,296,1,18,"5,12,14,5,12,9,8,8,8,7,6,5,5,5,9,8,8,8",154,114,182,12,182,0,102,12,117,240,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250513_TX_OF_7pN_Pb37_wtholo_1437_r50","nested","common_grid_intersection","tsne","optics",0.66189111747851,0.044238649787759536,0.07488340683425182,-0.055590227246284485,349,1,22,"8,8,8,9,9,12,5,7,7,10,8,6,5,10,7,5,11,8,5,11,10,6",174,128,221,10,221,0,118,10,145,264,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_Pb37_wtholo_1437_ga2","nested","common_grid_intersection","tsne","optics",0.6402985074626866,0.029991578497211548,0.04712356479557551,0.06340095400810242,670,1,55,"7,7,8,17,7,5,5,6,11,12,8,6,5,9,10,7,10,9,6,6,5,6,10,6,6,14,7,5,12,5,5,7,11,9,6,5,8,7,7,11,5,9,7,5,17,5,5,9,6,6,10,6,6,10,8",243,256,414,16,413,1,240,17,274,505,"","","",""
"/scistor/guest/ssk256/force_extension/data/nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested/research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","research-beta-pa-dulin-lab_Luca_wtRNAP_RfaH_tx_elongation_20250514_TX_OF_7pN_wtholo_1437_r1000ga2","nested","common_grid_intersection","tsne","optics",0.8657894736842106,0.18913676104514762,0.1357549570784918,0.07997386157512665,380,1,31,"5,9,5,6,10,5,11,8,7,5,7,7,6,10,5,12,5,5,12,7,9,11,6,7,7,13,5,10,11,16,6",132,59,321,9,320,1,50,10,120,427,"","","",""
"/scistor/guest/ssk256/force_extension/data/separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate/research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","research-beta-pa-dulin-lab_Luca_daCTD_TL_experiments_20240225_2_TEC0207_OF_7pN_PURESystem","separate","common_grid_intersection","tsne","optics",0.726890756302521,0.021378693608667964,0.012706282821804237,0.02543201856315136,476,1,37,"6,9,6,7,5,6,6,7,5,6,5,9,7,12,7,5,9,10,6,8,10,11,5,9,7,5,6,16,18,7,10,6,8,10,6,8,6",187,132,344,4,342,2,128,6,138,474,"","","",""
